sample_id,source_dataset,source_subset,source_path,original_hz,hz,raw_rows,n_frames,duration,needed_seconds,n_annotations,shortfall_seconds,labels_past_cap
AMASS:TotalCapture/s3/rom1_stageii.csv,AMASS,TotalCapture,TotalCapture/s3/rom1_stageii.csv,59.988002399520234,60.0,2000,2000,33.339999999999925,95.0,115,61.660000000000075,true
AMASS:TotalCapture/s3/rom2_stageii.csv,AMASS,TotalCapture,TotalCapture/s3/rom2_stageii.csv,59.988002399520234,60.0,2000,2000,33.339999999999925,88.67,115,55.33000000000008,true
AMASS:TotalCapture/s1/rom1_stageii.csv,AMASS,TotalCapture,TotalCapture/s1/rom1_stageii.csv,59.988002399521825,60.0,2000,2000,33.33999999999904,81.53,3,48.190000000000964,true
AMASS:TotalCapture/s3/rom3_stageii.csv,AMASS,TotalCapture,TotalCapture/s3/rom3_stageii.csv,59.988002399521825,60.0,2000,2000,33.33999999999904,81.0,173,47.66000000000096,true
AMASS:TotalCapture/s2/acting3_stageii.csv,AMASS,TotalCapture,TotalCapture/s2/acting3_stageii.csv,59.988002399521825,60.0,2000,2000,33.33999999999904,80.47,110,47.13000000000096,true
AMASS:KIT/987/Experiment3b_05_stageii.csv,AMASS,KIT,KIT/987/Experiment3b_05_stageii.csv,100.00000000000213,60.0,2000,1200,20.0,57.234,46,37.234,true
AMASS:KIT/3/Experiment3a_back_03_stageii.csv,AMASS,KIT,KIT/3/Experiment3a_back_03_stageii.csv,100.00000000000213,60.0,2000,1200,20.0,56.934,66,36.934,true
AMASS:KIT/674/wash_head02_stageii.csv,AMASS,KIT,KIT/674/wash_head02_stageii.csv,100.00000000000213,60.0,2000,1200,20.0,56.8,95,36.8,true
AMASS:KIT/1347/Experiment3a_subject1347_back_02_stageii.csv,AMASS,KIT,KIT/1347/Experiment3a_subject1347_back_02_stageii.csv,100.00000000000213,60.0,2000,1200,20.0,55.07,66,35.07,true
AMASS:KIT/3/Experiment3b_legs_03_stageii.csv,AMASS,KIT,KIT/3/Experiment3b_legs_03_stageii.csv,100.00000000000213,60.0,2000,1200,20.0,54.07,61,34.07,true
AMASS:KIT/674/wash_head04_stageii.csv,AMASS,KIT,KIT/674/wash_head04_stageii.csv,100.00000000000213,60.0,2000,1200,20.0,53.6,94,33.6,true
AMASS:KIT/3/Experiment3b_legs_02_stageii.csv,AMASS,KIT,KIT/3/Experiment3b_legs_02_stageii.csv,100.00000000000213,60.0,2000,1200,20.0,53.27,65,33.27,true
AMASS:KIT/674/wash_head05_stageii.csv,AMASS,KIT,KIT/674/wash_head05_stageii.csv,100.00000000000213,60.0,2000,1200,20.0,53.07,81,33.07,true
AMASS:KIT/3/Experiment3a_legs_01_stageii.csv,AMASS,KIT,KIT/3/Experiment3a_legs_01_stageii.csv,100.00000000000213,60.0,2000,1200,20.0,52.334,127,32.334,true
AMASS:KIT/1347/Experiment3a_subject1347_legs_03_stageii.csv,AMASS,KIT,KIT/1347/Experiment3a_subject1347_legs_03_stageii.csv,100.00000000000213,60.0,2000,1200,20.0,52.3,95,32.3,true
AMASS:KIT/1347/Experiment3a_subject1347_back_03_stageii.csv,AMASS,KIT,KIT/1347/Experiment3a_subject1347_back_03_stageii.csv,100.00000000000213,60.0,2000,1200,20.0,52.1,69,32.1,true
AMASS:KIT/3/Experiment3a_legs_03_stageii.csv,AMASS,KIT,KIT/3/Experiment3a_legs_03_stageii.csv,100.00000000000213,60.0,2000,1200,20.0,51.933,94,31.933,true
AMASS:CMU/13/13_20_stageii.csv,AMASS,CMU,CMU/13/13_20_stageii.csv,120.04801920768381,60.0,2000,1000,16.666666666666668,47.67,43,31.003333333333334,true
AMASS:MPILimits/03101/ulr5_stageii.csv,AMASS,MPILimits,MPILimits/03101/ulr5_stageii.csv,120.04801920768381,60.0,2000,1000,16.666666666666668,47.434,223,30.76733333333333,true
AMASS:CMU/86/86_11_stageii.csv,AMASS,CMU,CMU/86/86_11_stageii.csv,120.04801920768381,60.0,2000,1000,16.666666666666668,47.3,47,30.63333333333333,true
AMASS:TotalCapture/s2/acting2_stageii.csv,AMASS,TotalCapture,TotalCapture/s2/acting2_stageii.csv,60.01320290463908,60.0,2000,2000,33.325999999999965,63.5,128,30.174000000000035,true
AMASS:KIT/1346/Experiment3a_subject1346_back_03_stageii.csv,AMASS,KIT,KIT/1346/Experiment3a_subject1346_back_03_stageii.csv,100.00000000000213,60.0,2000,1200,20.0,49.87,110,29.869999999999997,true
AMASS:MPIHDM05/tr/HDM_tr_02-02_04_120_stageii.csv,AMASS,MPIHDM05,MPIHDM05/tr/HDM_tr_02-02_04_120_stageii.csv,120.04801920768381,60.0,2000,1000,16.666666666666668,46.47,102,29.80333333333333,true
AMASS:KIT/965/Experiment3a_02_stageii.csv,AMASS,KIT,KIT/965/Experiment3a_02_stageii.csv,100.00000000000213,60.0,2000,1200,20.0,49.77,26,29.770000000000003,true
AMASS:MPIHDM05/bk/HDM_bk_05-01_01_120_stageii.csv,AMASS,MPIHDM05,MPIHDM05/bk/HDM_bk_05-01_01_120_stageii.csv,120.04801920768381,60.0,2000,1000,16.666666666666668,46.2,53,29.533333333333335,true
AMASS:CMU/15/15_01_stageii.csv,AMASS,CMU,CMU/15/15_01_stageii.csv,120.04801920768381,60.0,2000,1000,16.666666666666668,46.033,48,29.366333333333333,true
AMASS:CMU/15/15_07_stageii.csv,AMASS,CMU,CMU/15/15_07_stageii.csv,120.04801920768381,60.0,2000,1000,16.666666666666668,45.834,236,29.167333333333335,true
AMASS:MPIHDM05/dg/HDM_dg_02-02_04_120_stageii.csv,AMASS,MPIHDM05,MPIHDM05/dg/HDM_dg_02-02_04_120_stageii.csv,120.04801920768381,60.0,2000,1000,16.666666666666668,45.534,116,28.86733333333333,true
AMASS:CMU/13/13_21_stageii.csv,AMASS,CMU,CMU/13/13_21_stageii.csv,120.04801920768381,60.0,2000,1000,16.666666666666668,45.333,26,28.66633333333333,true
AMASS:TotalCapture/s3/acting2_stageii.csv,AMASS,TotalCapture,TotalCapture/s3/acting2_stageii.csv,60.01608431059523,60.0,2000,2000,33.324400000000004,61.87,141,28.545599999999993,true
AMASS:CMU/62/62_11_stageii.csv,AMASS,CMU,CMU/62/62_11_stageii.csv,60.01608431059528,60.0,2000,2000,33.324399999999976,61.8,68,28.47560000000002,true
AMASS:TotalCapture/s1/acting2_stageii.csv,AMASS,TotalCapture,TotalCapture/s1/acting2_stageii.csv,60.01608431059525,60.0,2000,2000,33.3244,61.734,137,28.409600000000005,true
AMASS:CMU/122/122_22_stageii.csv,AMASS,CMU,CMU/122/122_22_stageii.csv,120.04801920768381,60.0,2000,1000,16.666666666666668,44.77,57,28.103333333333335,true
AMASS:TotalCapture/s1/walking1_stageii.csv,AMASS,TotalCapture,TotalCapture/s1/walking1_stageii.csv,60.016804705317256,60.0,2000,2000,33.324000000000126,61.2,131,27.875999999999877,true
AMASS:MPIHDM05/dg/HDM_dg_03-09_01_120_stageii.csv,AMASS,MPIHDM05,MPIHDM05/dg/HDM_dg_03-09_01_120_stageii.csv,120.04801920768381,60.0,2000,1000,16.666666666666668,44.3,31,27.63333333333333,true
AMASS:CMU/94/94_05_stageii.csv,AMASS,CMU,CMU/94/94_05_stageii.csv,120.04801920768381,60.0,2000,1000,16.666666666666668,43.934,13,27.26733333333333,true
AMASS:MPILimits/03101/ulr1a001_stageii.csv,AMASS,MPILimits,MPILimits/03101/ulr1a001_stageii.csv,120.04801920768381,60.0,2000,1000,16.666666666666668,43.833,33,27.16633333333333,true
